Dissector,Interval,Sampling,DeadGams,Reverts,Newgams,Gams,GroupSize,TotalPupae,InitPupae,finalpupae,finallarvae,finaleggs,BPYO,BPMATED,BPYB,BPDissNotes,CABYO,CABMATED,CABYB,CABDissNotes,KLHYO,KLHMATED,KLHYB,KLHDissNotes,BehaviorSampled,Treatment,Date-Dissection,TRUE GAM COLONY,TRUE GAM MARK,status,cricket,headwidth,headwidth_mm,headwidth2,braindiss,oocyte_gam,gam_agreement,Ovary File Image Number(Blinded),PHOTO_YO,PHOTO_MATED,PHOTO_YB,NOTES--BP-when observing photographs blindly
BP,Eighteen,Final,1,,,1,11,48,7,48,,,5,1,1,,5,1,1,,,,,,,SP,5/4/21,SAFC17,BGB,G,,1,2.577,2.6,1,G,TRUE,7A,5,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,0,1,1,,0,1,1,,,,,,,IP,5/5/21,SAFC5A,OYO,G,,1,2.729,2.7,0,W,FALSE,10A,0,1,1,"if Orange gamergate that died reverted, then count as revert"
BP,Eighteen,Final,1,,,5,10,21,21,21,,,4,1,1,,3,1,1,,,,,,,IP,5/5/21,SAFC5A,Yellow,G,,1,2.884,2.9,1,G,TRUE,65A,4,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,4,0,1,,4,0,1,,,,,,,IP,5/5/21,SAFC5A,WOWO,G,,1,2.885,2.9,1,G,TRUE,29A,3,0,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,5,1,1,lost 1 yo from ovary in transition to photoraph,4,1,1,,,,,,,IP,5/5/21,SAFC5A,OGO,G,,1,2.926,2.9,1,G,TRUE,4A,4,1,1,
BP,Eighteen,Final,1,,,5,10,21,21,21,,,5,1,1,,5,1,1,,,,,,,IP,5/5/21,SAFC5A,YGY,G,,1,2.597,2.6,0,G,TRUE,67A,4,1,1,
BP,Eighteen,Final,,1,1,2,24,57,2,7,12,37,4,1,1,,4,0,1,unsure about one of the oocytes,,,,,1,SP,6/3/21,RGB(109),YGY,G,,1,2.489,2.5,1,G,TRUE,40A,4,0,1,
BP,Eighteen,Final,,1,1,2,24,57,2,7,12,37,7,1,1,,7,1,1,did not count 1 as too transparent,,,,,1,SP,6/3/21,RGB(109),GOG,G,,1,2.570,2.6,1,G,TRUE,31A,6,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,3,1,1,,3,1,1,,,,,,1,IP,6/4/21,F32,WGW,G,,1,2.574,2.6,0,G,TRUE,68A,3,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,4,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,BYB,G,,1,2.513,2.5,0,G,TRUE,42A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,4,0,1,,4,0,1,,,,,,1,IP,6/4/21,F32,OPO,G,,1,2.828,2.8,1,G,TRUE,35A,4,0,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,5,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,BOB,G,,1,2.487,2.5,0,G,TRUE,19A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,5,1,1,,5,1,1,,,,,,1,IP,6/4/21,F32,GWG,G,,1,2.654,2.7,0,G,TRUE,50A,4,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,6,1,1,,,,,,1,IP,6/4/21,F32,OYO,G,,1,2.703,2.7,0,G,TRUE,52A,5,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,6,1,1,,,,,,1,IP,6/4/21,F32,OGO,G,,1,2.828,2.8,1,G,TRUE,15A,6,1,1,
BP,Eighteen,Final,,,,8,11,118,46,5,9,70,6,1,1,,4,1,1,,,,,,1,IP,6/4/21,F32,OBO,G,,1,2.739,2.7,1,G,TRUE,28A,5,1,1,5th Yo counted as can distinguish it ontop of another YO
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,0,1,1,,0,1,1,,,,,,1,IP,7/20/21,R5(117C),OGO,RG,0,1,2.448,2.4,0,RG,TRUE,32A,0,1,1,"not counting Yo since round, but not ovoid"
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,2,1,1,maybe 1+ yolky oocytes damaged during dissections,2,1,1,,,,,,1,IP,7/20/21,R5(117C),GWG,G,0,1,2.632,2.6,0,G,TRUE,58A,2,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,4,1,1,,4,1,1,one oocyte pinched,,,,,1,IP,7/20/21,R5(117C),WGW,G,0,1,2.388,2.4,0,G,TRUE,48A,4,0,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,4,1,1,,4,1,1,,,,,,1,IP,7/20/21,R5(117C),GBG,G,0,1,2.589,2.6,1,G,TRUE,22A,4,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,5,1,1,,,,,,1,IP,7/20/21,R5(117C),OYO,G,0,1,2.646,2.6,0,G,TRUE,41A,4,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,5,1,1,,,,,,1,IP,7/20/21,R5(117C),WP,G,0,1,2.642,2.6,0,G,TRUE,33A,5,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,5,1,1,,4,1,1,1 YO uncounted b/c transparent,,,,,1,IP,7/20/21,R5(117C),ORANGE,G,0,1,2.470,2.5,0,G,TRUE,39A,5,1,1,"hard to tell, but can distinguish 5th yo on top of a larger YO"
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,lost spermatheca after taking picture,6,0,1,,,,,,1,IP,7/20/21,R5(117C),BYB,G,0,1,2.544,2.5,1,G,TRUE,20A,5,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,,6,1,1,,,,,,1,IP,7/20/21,R5(117C),YOY,G,0,1,2.528,2.5,0,G,TRUE,59A,3,1,1,
BP,Eighteen,Final,,1,,9,16,42,21,0,3,101,6,1,1,,6,1,1,1 uncounted b/c half transparent,,,,,1,IP,7/20/21,R5(117C),PYP,G,0,1,2.694,2.7,1,G,TRUE,46A,5,1,1,
BP,Eighteen,Final,,,,2,18,116,16,10,11,23,6,1,1,,6,1,1,,,,,,1,SP,7/21/21,F111,WBW,G,0,1,2.708,2.7,1,G,TRUE,71A,6,1,1,
BP,Eighteen,Final,,,,2,18,116,16,10,11,23,7,1,1,,6,1,1,1 uncounted b/c half transparent,,,,,1,SP,7/21/21,F111,POP,G,0,1,2.790,2.8,1,G,TRUE,72A,7,1,1,7th large YO is discernible even though smaller Yos are on top
BP,Eighteen,Final,1,,1,2,5,117,56,0,0,3,0,1,0,,,,,,,,,,,SP,6/14/21,49B,OWO,unclear,,1,2.526,2.5,0,RG,FALSE,55A,0,1,0,"unclear scanobs before dying, therefore assumed to be a reverted gamergate"
BP,Eighteen,Final,1,,,3,6,63,6,1,4,27,1,1,1,,,,,,,,,,,IP,6/2/21,SAFC20,PGP,RG,,1,2.439,2.4,0,RG,TRUE,25A,0,1,0,not counting YO since its not ovoid enough
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,0,0,1,,,,,,,,,,,IP,5/13/21,SAFC20,YOY,RG,,0,,,0,RG,TRUE,18A,0,0,1,
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,0,1,1,,,,,,,,,,,IP,5/13/21,SAFC20,YPY,RG,,0,,,0,RG,TRUE,56A,0,0,1,"if spermatheca is more in area of ovarioles, then yes it's filled.  Looks instead just like a round trophocyte, so no"
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,0,1,1,,0,1,1,,,,,,,IP,7/22/21,SAFC20,BYB,RG,1,1,2.415,2.4,0,RG,TRUE,45A,0,1,1,
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,1,1,1,,1,1,1,,,,,,,IP,7/22/21,SAFC20,GOG,RG,1,1,2.528,2.5,0,RG,TRUE,26A,1,1,1,
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,1,1,1,,1,1,1,,,,,,,IP,7/22/21,SAFC20,OPO,G,0,1,2.568,2.6,0,RG,FALSE,9A,1,1,1,
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,4,1,1,,5,1,1,,,,,,,IP,7/22/21,SAFC20,POP,RG,0,1,2.763,2.8,1,G,FALSE,2A,5,1,1,counting 1 YO that is partially obscured but seems ovoid and opaque beneath others
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,4,1,1,,4,1,1,,,,,,,IP,7/22/21,SAFC20,OYO,G,0,1,3.000,3.0,1,G,TRUE,5A,3,1,1,
BP,Eighteen,Final,1,1,,3,6,63,6,1,4,27,4,1,1,,3,1,1,,,,,,,IP,7/22/21,SAFC20,YGY,G,0,1,2.683,2.7,1,G,TRUE,36A,3,1,1,
BP,Eighteen,Final,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,IP,7/10/21,R3BA(3),BPB,RG,,1,2.512,2.5,0,RG,TRUE,43B,1,0,1,died but not clear if it was a reverted gamergate
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,5,1,0,,4,0,1,,,,,,,IP,8/22/21,R3BA(3),OWO,G,0,1,2.913,2.9,0,G,TRUE,39B,3,1,1,"BP: may be 4 YO, as one is beneath the others--but too indistinct to be conclusive"
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,3,1,1,1 OOCYTE ROUND AND YOLKY NOT COUNTED,3,1,1,one of the counted YO is small but matches criteria,,,,,,IP,8/22/21,R3BA(3),WOW,G,0,1,2.701,2.7,0,G,TRUE,10B,3,1,1,3rd yolky oocyte is blurry and a judgment call
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,4,1,1,,4,1,1,,,,,,,IP,8/22/21,R3BA(3),GBG,unclear,0,1,2.821,2.8,0,G,FALSE,9B,4,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,3,1,1,,3,1,1,,,,,,,IP,8/22/21,R3BA(3),WGW,G,0,1,2.940,2.9,0,G,TRUE,1B,4,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,4,1,1,,4,1,1,,,,,,,IP,8/22/21,R3BA(3),GOG,G,0,1,2.829,2.8,0,G,TRUE,31B,4,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,1,1,1,LOST 1 yo AFTER PHOTOGRAPH,0,1,1,,,,,,,IP,8/22/21,R3BA(3),BGB,G,1,1,2.596,2.6,0,RG,FALSE,47B,1,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,1,1,,0,1,1,"1 tiny oocyte, but not fully filled",,,,,,IP,8/22/21,R3BA(3),GWG,RG,0,1,2.540,2.5,0,RG,TRUE,7B,0,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,1,1,LOST SPERMATHECA DURING DISSECTION,0,0,1,,,,,,,IP,8/22/21,R3BA(3),WPW,RG,1,1,2.627,2.6,0,RG,TRUE,2B,0,0,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,1,1,,0,1,1,,,,,,,IP,8/22/21,R3BA(3),PBP,RG,1,1,2.515,2.5,0,RG,TRUE,30B,0,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,1,1,,0,1,1,,,,,,,IP,8/22/21,R3BA(3),BOB,RG,1,1,2.403,2.4,0,RG,TRUE,34B,0,1,1,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,0,1,,,,,,,,,,,IP,8/22/21,R3BA(3),GWP,RG,,1,2.707,2.7,0,RG,TRUE,42B,0,1,0,
BP,Eighteen,Final,1,1,1,5,13,59,31,0,0,38,0,0,0,,0,0,0,,,,,,,IP,8/22/21,R3BA(3),OBO,NG1,0,1,2.500,2.5,0,W,FALSE,24B,0,0,0,
BP,Eighteen,Final,,,,1,8,87,13,0,6,17,6,1,1,,6,1,1,,,,,,,SP,8/23/21,F100A,OWO,G,0,1,2.592,2.6,0,G,TRUE,11B,6,1,1,
BP,Eighteen,Final,,,,5,8,17,11,0,6,39,4,1,1,,4,1,1,,,,,,1,IP,9/8/21,SAFC17A,YOY,G,0,0,,,1,G,TRUE,45B,4,1,1,
BP,Eighteen,Final,,,,5,8,17,11,0,6,39,5,1,1,5th yolky oocyte small and broken during dissections,5,1,1,,,,,,1,IP,9/8/21,SAFC17A,GBG,G,0,1,2.659,2.7,1,G,TRUE,48B,4,1,1,"4th yo hard to discern, but there"
BP,Eighteen,Final,,,,5,8,17,11,0,6,39,6,1,1,2 yolky oocytes damaged during dissections.  Not apparent in photographs at all,4,1,1,"maybe 1 more YO, but broken up a bit",,,,,1,IP,9/8/21,SAFC17A,GOG,G,1,1,2.552,2.6,0,G,TRUE,41B,4,1,1,
BP,Eighteen,Final,,,,5,8,17,11,0,6,39,4,1,1,"1 yolky oocyte damaged, but still counted",3,1,1,maybe 1 more YO that was translucent; maybe 2nd YO that was broken,,,,,1,IP,9/8/21,SAFC17A,OYO,G,1,1,2.279,2.3,0,G,TRUE,13B,5,1,1,5th yolky oocyte was clearly destroyed but still ovoid enough to count; 4th yolky oocyte translucent but yolky enough
BP,Eighteen,Final,,,,5,8,17,11,0,6,39,4,1,1,1 yolky oocyte damaged and difficult to see as ovoid by time of photograph,3,1,1,"broken up oocyte-, uncounted",,,,,1,IP,9/8/21,SAFC17A,BOB,G,0,1,2.706,2.7,1,G,TRUE,4B,3,1,1,
BP,Eighteen,Final,1,1,,2,18,59,9,2,7,16,5,1,1,,5,1,1,,,,,,1,SP,9/9/21,F32A,YBY,G,0,1,2.778,2.8,1,G,TRUE,27B,5,1,1,one yo is obfuscated but can tell it is a YO
BP,Eighteen,Final,1,1,,2,18,59,9,2,7,16,5,1,1,5TH YOLKY OOCYTE HARD TO SEE,4,1,1,1 yo that is translucent did not count,,,,,1,SP,9/9/21,F32A,BYB,G,0,1,2.690,2.7,1,G,TRUE,28B,4,1,1,one oocyte is too translucent to count
BP,Eighteen,Final,1,1,,2,18,59,9,2,7,16,0,1,1,,0,1,1,,,,,,1,SP,9/9/21,F32A,MYM,RG,1,1,2.579,2.6,0,RG,TRUE,40B,0,1,1,
BP,Eighteen,Final,,,,1,7,4,3,0,7,18,7,1,1,"7TH YOLKY OOCYTE HARD TO SEE, 6TH YOLKY OOCYTE BROKEN",6,1,1,one small oocyte did not count,,,,,,SP,9/9/21,F105/2,OGO,G,0,1,3.026,3.0,1,G,TRUE,35B,6,1,1,1 yo obfuscated but can tell it's there; 1 uncounted  doesn't have ovoid shape to count
BP,Eighteen,Final,,,,1,7,4,3,0,7,18,1,1,1,,2,1,1,,,,,,,SP,9/9/21,F105/2,OYO,unclear,0,1,2.754,2.8,0,W,FALSE,19B,1,1,1,1 oocyte not counted b/c round and too translucent
BP,Eighteen,Final,,,,1,7,4,3,0,7,18,0,1,0,,0,1,0,,,,,,,SP,9/9/21,F105/2,GWG,W,1,1,2.596,2.6,0,W,TRUE,49B,0,1,0,yellow is NOT a yellow body but something else
BP,Eighteen,Final,1,1,,,,,,,,,0,1,1,,,,,,,,,,,IP,11/22/21,F105,BOB,RG,,1,2.769,2.8,,RG,TRUE,11C,0,1,1,
BP,Eighteen,Final,,,,2,17,1,1,0,3,52,3,1,1,,,,,,,,,,1,SP,3-Jan,F103,OPO,G,,1,2.562,2.6,,G,TRUE,16C,3,1,1,
BP,Eighteen,Final,,,,1,18,4,0,0,8,29,12,1,1,,11,1,1,,,,,,,SP,1/4/22,64C,WOW,G,0,1,2.965,3.0,,G,TRUE,14C,12,1,1,
BP,Eighteen,Final,,,,1,18,4,0,0,8,29,,,,,,,,,,,,,,SP,1/4/22,64C,UMW1,W,1,0,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,,1,18,4,0,0,8,29,,,,,,,,,,,,,,SP,1/4/22,64C,UMW2,W,1,0,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,,1,18,4,0,0,8,29,,,,,0,0,0,,,,,,,SP,1/4/22,64C,UMW3,W,1,1,2.729,2.7,,W,TRUE,23C,0,0,0,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,7,0,1,1 yolky oocyte damaged,7,0,1,,,,,,1,SP,1/4/22,SAFC13,BOB,G,0,1,2.786,2.8,,G,TRUE,2C,7,1,1,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,8,1,1,1 yolky oocyte damaged,7,0,1,,,,,,1,SP,1/4/22,SAFC13,GBG,G,0,1,2.886,2.9,,G,TRUE,13C,7,1,1,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,6,1,0,,7,1,1,,,,,,1,SP,1/4/22,SAFC13,Blue,NG2,0,1,2.487,2.5,,NG,FALSE,25C,6,1,0,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,,,,,,,,,,,,,1,SP,1/4/22,SAFC13,Magenta,W,1,0,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,,,,,,,,,,,,,1,SP,1/4/22,SAFC13,Yellow,W,1,0,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,1,3,20,51,8,3,13,46,0,0,0,,0,0,0,,,,,,1,SP,1/4/22,SAFC13,Green,W,1,1,2.491,2.5,,W,TRUE,8C,0,0,0,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,5,1,1,1 YO DAMAGED,4,1,1,,,,,,1,IP,1/5/22,F105,GOG,G,0,1,2.770,2.8,,G,TRUE,17C,5,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,6,1,1,,6,1,1,,,,,,1,IP,1/5/22,F105,YGY,G,0,1,2.903,2.9,,G,TRUE,10C,7,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,5,1,1,,5,1,1,,,,,,1,IP,1/5/22,F105,GYG,G,0,1,2.652,2.7,,G,TRUE,7C,5,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,0,1,1,,0,1,1,,,,,,1,IP,1/5/22,F105,GOW,RG,0,1,2.715,2.7,,RG,TRUE,15C,0,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,7,1,1,,7,1,1,,,,,,1,IP,1/5/22,F105,OBO,G,0,1,2.704,2.7,,G,TRUE,12C,6,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,5,1,1,,5,1,1,,,,,,1,IP,1/5/22,F105,WGW,G,0,1,2.765,2.8,,G,TRUE,22C,5,1,1,
BP,Eighteen,Final,1,1,,5,9,4,3,0,9,47,1,1,0,,0,1,1,1 oocyte not considered b/c not fully opaque,,,,,,IP,1/5/22,F105,umw,W,1,1,2.885,2.9,,W,TRUE,4C,1,1,0,1 included b/c sufficiently opaque
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,0,1,1,,,,,,,,,,1,IP,2/17/22,F111/1,BPB,RG,,1,2.429,2.4,,RG,TRUE,18C,0,1,1,gam also died after reverting
BP,Eighteen,Final,,,,2,17,1,1,0,3,52,0,1,1,,,,,,,,,,1,SP,2/17/22,F103,PGP,W,,1,2.542,2.5,,W,TRUE,20C,0,1,1,
BP,Eighteen,Final,1,,1,12,21,29,20,0,5,136,0,0,0,,,,,,,,,,1,IP,3/16/22,112C,Magenta,W,,1,2.443,2.4,,W,TRUE,10D,0,0,0,
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,6,1,1,,6,1,1,,,,,,1,IP,4/11/22,F111/1,PGP,G,0,1,2.536,2.5,,G,TRUE,27C,5,1,1,
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,4,1,1,,4,1,1,"maybe there's a 5th yo, but doesn't look distinct from rest b/c it is translucent",,,,,1,IP,4/11/22,F111/1,GPG,G,0,1,2.558,2.6,,G,TRUE,6C,5,1,1,
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,4,1,1,,3,1,1,"maybe there is a 4th yo, but looks squished",,,,,1,IP,4/11/22,F111/1,WPW,G,0,1,2.514,2.5,,G,TRUE,1C,4,1,1,
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,4,1,1,,3,1,1,,,,,,1,IP,4/11/22,F111/1,PWP,G,0,1,2.417,2.4,,G,TRUE,24C,3,1,1,
BP,Eighteen,Final,1,1,,5,6,0,0,0,5,30,3,1,1,,3,1,1,,,,,,1,IP,4/11/22,F111/1,PBP,G,0,1,2.530,2.5,,G,TRUE,26C,3,1,1,
,,,1,1,,,,,,,,,0,0,0,,0,0,0,,,,,,1,IP,4/11/22,F111/1,umw,W,0,,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,1,2,17,1,1,0,3,52,10,1,1,,10,1,1,,,,,,1,SP,12-Apr,F103,YGY,G,0,1,2.833,2.8,,G,TRUE,5C,9,1,1,1 excluded  b/c too translucent
BP,Eighteen,Final,,,1,2,17,1,1,0,3,52,9,1,1,,8,1,1,"1 small one (potentially), but ruptured so not counting",,,,,1,SP,12-Apr,F103,YOY,G,0,1,2.534,2.5,,G,TRUE,21C,8,1,1,
BP,Eighteen,Final,,,1,2,17,1,1,0,3,52,1,0,0,,1,0,0,,,,,,1,SP,12-Apr,F103,GOG,unclear,1,1,2.512,2.5,,W,FALSE,3C,1,0,0,
BP,Eighteen,Final,,,1,2,17,1,1,0,3,52,0,0,0,,0,0,0,,,,,,1,SP,12-Apr,F103,OGO,W,0,1,2.550,2.6,,W,TRUE,19C,0,1,1,
BP,Eighteen,Final,,,,3,49,28,3,7,27,100,11,1,1,including damaged YO,10,1,1,1 uncounted is very small,,,,,1,SP,12-Apr,F30,OBO,G,0,1,2.759,2.8,,G,TRUE,9C,11,1,1,
BP,Eighteen,Final,,,,3,49,28,3,7,27,100,13,1,1,,12,1,1,1 YO is translucent,,,,,1,SP,12-Apr,F30,BOB,G,0,1,2.835,2.8,,G,TRUE,28C,12,1,1,
BP,Eighteen,Final,,,,3,49,28,3,7,27,100,12,1,1,,10,1,1,"maybe 11, but one uncounted YO is super small",,,,,1,SP,12-Apr,F30,GOG,G,0,1,2.889,2.9,,G,TRUE,29C,12,1,1,1 included  even though  translucent
BP,Eighteen,Final,1,1,,3,49,28,3,7,27,100,,,,,,,,,,,,,,IP,10-May,SAFC13A,YOY,RG,,1,2.451,2.5,,,,,,,,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,5,0,1,,5,1,1,missing spermatheca,,,,,1,IP,5/25/22,SAFC13A,GOG,G,0,1,2.590,2.6,,G,TRUE,2D,5,0,1,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,6,1,1,,6,1,1,,7,1,1,,1,IP,5/25/22,SAFC13A,BYB,G,1,1,2.238,2.2,,G,TRUE,20D,6,1,1,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,7,1,1,,,,,,7,1,1,,1,IP,5/25/22,SAFC13A,YGY,G,0,1,2.333,2.3,,G,TRUE,16D,6,1,1,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,6,1,1,,6,1,1,,,,,,1,IP,5/25/22,SAFC13A,YBY,G,0,1,2.521,2.5,,G,TRUE,18D,5,1,1,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,1,0,0,,0,0,0,,1,0,0,egg' more glob than egg laid,1,IP,5/25/22,SAFC13A,OGO,W,0,1,2.309,2.3,,W,TRUE,7D,1,0,0,
BP,Eighteen,Final,1,1,,4,6,3,3,0,0,53,0,1,1,,,,,,,,,,1,IP,2/25/22,SAFC13A,OBO,unclear,0,1,2.719,2.7,,unclear,TRUE,9D,3,1,1,hard to tell if these YO are ovoid or not
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,6,1,1,,,,,,6,1,1,,1,SP,5/25/22,SAFC10,GYG,G,0,1,2.155,2.2,,G,TRUE,6D,6,1,1,1 oocyte excluded b/c it is round and not oval
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,11,1,1,hard to see 11th yo in photo,,,,,11,1,1,,1,SP,5/25/22,SAFC10,OBO,G,0,1,2.608,2.6,,G,TRUE,13D,10,1,1,"1 YO is translucent, but still opaque enough to count.  Another is slightly translucent"
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,9,1,1,hard to see 11th yo in photo,,,,,9,1,1,,1,SP,5/25/22,SAFC10,BYB,G,0,1,2.539,2.5,,G,TRUE,19D,7,1,1,"may be 1 oocyte that is broken beneath rest on the right.  Hard to tell, though."
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,,,,,,,,,,,,,1,SP,5/25/22,SAFC10,YOG,W,1,,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,,,,,,,,,,,,,1,SP,5/25/22,SAFC10,YGO,W,1,,,,,W,TRUE,,,,,
BP,Eighteen,Final,,,1,3,40,139,9,3,26,97,,,,,,,,,,,,,1,SP,5/25/22,SAFC10,MG,NG1,0,,,,,,,,,,,
