Date,Colony,NumGams,Pupa,Larva,Eggs,males,gynes,GroupSize,allbrood,worker_removal_exp_later
11/16/16,F22,2,15,11,18,0,,19,1,
1/17/17,SAFC 5,1,29,36,28,0,,107,1,
12/5/16,F48,4,0,3,40,0,,16,1,
8/24/16,F25,2,5,13,54,0,,21,1,
1/26/17,SAFC 6,1,7,21,54,0,,71,1,
12/4/16,F65,5,15,18,57,0,,18,1,
12/5/16,F79,4,11,25,57,0,,15,1,
1/6/17,SAFC 15,3,4,94,58,0,,125,1,
10/28/16,F105/1,2,7,27,60,0,,80,1,
12/22/16,SAFC 16,3,9,41,65,0,,93,1,
12/1/16,F43,5,1,13,66,0,,20,1,
11/1/16,F111/1,4,1,16,76,0,,26,1,
12/9/16,F121,3,14,17,78,0,,30,1,
11/14/16,F44,3,7,22,82,0,,42,1,
11/14/16,F98/1,3,2,19,91,0,,18,1,
7/18/18,RGB(109B),2,1,3,93,0,0,52,1,
2/10/17,SAFC 3,2,2,25,93,0,,110,1,
10/31/16,F118,4,16,28,97,0,,34,1,
11/28/16,F30,4,4,29,104,0,,105,1,
1/6/17,SAFC 12,4,46,51,104,0,,127,1,
12/2/16,F89,5,3,43,108,0,,92,1,
12/23/16,SAFC 13,3,12,80,112,0,,143,1,
1/6/17,F102,6,1,24,113,0,,36,1,
1/9/17,SAFC 18,3,5,20,113,0,,100,1,
12/28/17,R3B(107/1),3,24,69,116,0,0,210,1,
1/9/17,F103/1,4,13,22,132,0,,38,1,
3/13/17,F21,9,2,47,133,0,,62,1,
1/5/17,SAFC 19,5,5,43,136,0,,84,1,
7/21/17,SAFC 17,4,7,33,141,0,0,97,1,
7/24/17,SAFC 7,9,29,87,163,0,0,182,1,
3/8/17,SAFC 8,5,2,77,171,0,,97,1,
4/6/17,SAFC 4,9,2,63,174,0,,43,1,
1/26/17,F33,11,1,59,175,0,,61,1,
4/13/19,R22(86C),6,8,23,182,0,0,83,1,
3/27/17,F90,8,47,39,187,0,,74,1,
12/18/19,51 A/2(+)(99B),8,13,,,,,82,,1
1/21/20,F20/1,4,15,,,0,0,67,,1
1/28/21,F32,8,46,,,0,0,83,,1
6/18/20,R017A/2(16),10,4,,,0,0,87,,1
10/10/19,R15A(118),9,20,,,0,0,139,,1
8/6/20,R17(24B),6,1,,,0,0,68,,1
6/23/20,R1G/2 (18B),7,41,,,0,0,77,,1
10/9/19,R4A(83),5,1,,,,,84,,1
3/16/21,R5(117C),10,21,,,0,0,92,,1
6/18/20,RL8.6B1(112B),6,7,,,0,0,76,,1
6/2/20,RP5/2(1B),9,6,,,0,0,85,,1
3/18/20,SAFC 20,10,6,,,0,0,115,,1
12/17/19,SAFC 9,7,4,,,0,0,113,,1
2/5/20,T3A2(66),7,2,,,,,86,,1